date,mood,mood_id
2020-08-15,,d4735e3a265e16ee
2020-08-15,,6b86b273ff34fce1
2020-08-15,,e7f6c011776e8db7
2020-08-17,,7902699be42c8a8e
2020-08-17,,ef2d127de37b942b
2020-08-17,,d4735e3a265e16ee
2020-08-19,,ef2d127de37b942b
2020-08-19,,d4735e3a265e16ee
2020-08-19,,7902699be42c8a8e
2020-08-20,,7902699be42c8a8e
2020-08-20,,ef2d127de37b942b
2020-08-20,,e7f6c011776e8db7
2020-08-20,,d4735e3a265e16ee
2020-08-20,,2c624232cdd22177
2020-08-21,,7902699be42c8a8e
2020-08-21,,2c624232cdd22177
2020-08-21,,d4735e3a265e16ee
2020-08-21,,ef2d127de37b942b
2020-08-24,,7902699be42c8a8e
2020-08-24,,e7f6c011776e8db7
2020-08-24,,ef2d127de37b942b
2021-01-01,,ef2d127de37b942b
2021-01-05,,4e07408562bedb8b
2021-01-26,,e7f6c011776e8db7
2021-01-26,,ef2d127de37b942b
2021-01-27,,d4735e3a265e16ee
2021-01-27,,e7f6c011776e8db7
2021-01-27,,ef2d127de37b942b
2021-01-28,,e7f6c011776e8db7
2021-01-28,,d4735e3a265e16ee
2021-01-28,,ef2d127de37b942b
2021-01-29,,7902699be42c8a8e
2021-01-29,,ef2d127de37b942b
2021-01-29,,e7f6c011776e8db7
2021-04-09,,6b86b273ff34fce1
2021-04-09,,ef2d127de37b942b
2021-04-09,,d4735e3a265e16ee
2021-04-09,,e7f6c011776e8db7
2021-04-10,,ef2d127de37b942b
2021-04-10,,e7f6c011776e8db7
2021-04-10,,d4735e3a265e16ee
2021-04-12,,6b86b273ff34fce1
2021-04-12,,7902699be42c8a8e
2021-04-12,,ef2d127de37b942b
2021-04-12,,d4735e3a265e16ee
2021-04-13,,d4735e3a265e16ee
2021-04-13,,7902699be42c8a8e
2021-04-13,,2c624232cdd22177
2021-04-13,,ef2d127de37b942b
2021-04-13,,6b86b273ff34fce1
2021-05-14,,ef2d127de37b942b
2021-05-15,,ef2d127de37b942b
2021-05-18,,e7f6c011776e8db7
2021-05-18,,7902699be42c8a8e
2021-06-15,,d4735e3a265e16ee
2021-06-15,,ef2d127de37b942b
2021-06-16,,ef2d127de37b942b
2021-07-01,,2c624232cdd22177
2021-07-01,,d4735e3a265e16ee
2021-07-31,,7902699be42c8a8e
2021-07-31,,e7f6c011776e8db7
2021-07-31,,ef2d127de37b942b
2021-07-31,,d4735e3a265e16ee
2021-07-31,,2c624232cdd22177
2021-08-01,,ef2d127de37b942b
2021-08-01,,d4735e3a265e16ee
2021-08-01,,e7f6c011776e8db7
2021-10-10,,ef2d127de37b942b
2021-10-12,,e7f6c011776e8db7
2021-10-12,,2c624232cdd22177
2021-10-12,,ef2d127de37b942b
2021-10-13,,ef2d127de37b942b
2021-10-13,,6b86b273ff34fce1
2022-01-29,,2c624232cdd22177
2022-01-29,,e7f6c011776e8db7
2022-01-29,,ef2d127de37b942b
2022-01-30,,ef2d127de37b942b
2022-01-30,,2c624232cdd22177
2022-01-30,,d4735e3a265e16ee
2022-01-31,,d4735e3a265e16ee
2022-01-31,,2c624232cdd22177
2022-01-31,,e7f6c011776e8db7
2022-02-01,,ef2d127de37b942b
2022-02-01,,6b86b273ff34fce1
2022-02-01,,d4735e3a265e16ee
2022-02-01,,2c624232cdd22177
2022-02-01,,e7f6c011776e8db7
2022-02-02,,e7f6c011776e8db7
2022-02-02,,2c624232cdd22177
2022-02-02,,ef2d127de37b942b
2022-02-03,,e7f6c011776e8db7
2022-02-03,,d4735e3a265e16ee
2022-02-06,,2c624232cdd22177
2022-03-30,,ef2d127de37b942b
2022-04-01,,ef2d127de37b942b
2022-04-02,,2c624232cdd22177
2022-04-02,,ef2d127de37b942b
2022-04-15,,d4735e3a265e16ee
2022-05-31,,2c624232cdd22177
2022-05-31,,6b86b273ff34fce1
2022-05-31,,d4735e3a265e16ee
2022-06-03,,e7f6c011776e8db7
2022-06-03,,d4735e3a265e16ee
2022-06-03,,2c624232cdd22177
2022-07-10,,e7f6c011776e8db7
2022-07-10,,ef2d127de37b942b
2022-07-10,,d4735e3a265e16ee
2022-07-11,,e7f6c011776e8db7
2022-07-11,,2c624232cdd22177
2022-07-11,,d4735e3a265e16ee
2022-07-11,,ef2d127de37b942b
2022-07-13,,ef2d127de37b942b
2022-08-28,,6b86b273ff34fce1
2022-09-30,,7902699be42c8a8e
2022-11-07,,d4735e3a265e16ee
2022-11-07,,2c624232cdd22177
2022-12-15,,7902699be42c8a8e
2022-12-15,,d4735e3a265e16ee
2022-12-15,,2c624232cdd22177
2022-12-15,,6b86b273ff34fce1
2023-01-16,,6b86b273ff34fce1
2023-01-16,,7902699be42c8a8e
2023-01-16,,2c624232cdd22177
2023-01-16,,d4735e3a265e16ee
2023-01-17,,7902699be42c8a8e
2023-01-17,,e7f6c011776e8db7
2023-01-17,,d4735e3a265e16ee
