date,steps,distance_m,calories,steps_id
1970-02-10,0,,,f65e0d95471c9549
1970-02-10,176,,,c409ee930c1e51d9
1970-02-10,31,,,3a51ddb3db340627
1970-02-10,0,,,3a51ddb3db340627
1970-02-10,114,,,36f6dfba41939907
1970-02-10,115,,,c409ee930c1e51d9
1970-02-10,0,,,36f6dfba41939907
1970-02-10,0,,,c409ee930c1e51d9
1970-02-10,31,,,3a51ddb3db340627
1970-02-10,0,,,3a51ddb3db340627
1970-02-10,140,,,3a51ddb3db340627
1970-02-10,173,,,3a51ddb3db340627
1970-02-10,213,,,36f6dfba41939907
1970-02-10,277,,,c409ee930c1e51d9
1970-02-10,8,,,36f6dfba41939907
1970-02-10,145,,,c409ee930c1e51d9
1970-02-10,65,,,36f6dfba41939907
1970-02-10,69,,,c409ee930c1e51d9
1970-02-10,6,,,36f6dfba41939907
1970-02-10,6,,,c409ee930c1e51d9
1970-02-10,48,,,36f6dfba41939907
1970-02-10,48,,,c409ee930c1e51d9
1970-02-10,17,,,36f6dfba41939907
1970-02-10,12,,,c409ee930c1e51d9
1970-02-10,39,,,36f6dfba41939907
1970-02-10,36,,,c409ee930c1e51d9
1970-02-10,45,,,36f6dfba41939907
1970-02-10,45,,,c409ee930c1e51d9
1970-02-10,28,,,3a51ddb3db340627
1970-02-10,25,,,3a51ddb3db340627
1970-02-10,176,,,36f6dfba41939907
1970-02-10,33,,,36f6dfba41939907
1970-02-10,98,,,3a51ddb3db340627
1970-02-10,151,,,36f6dfba41939907
1970-02-10,336,,,f445ecf6f36567fe
1970-02-10,336,,,c409ee930c1e51d9
1970-02-10,1,,,f445ecf6f36567fe
1970-02-10,1,,,c409ee930c1e51d9
1970-02-10,43,,,f445ecf6f36567fe
1970-02-10,43,,,c409ee930c1e51d9
1970-02-10,11,,,f445ecf6f36567fe
1970-02-10,11,,,c409ee930c1e51d9
1970-02-10,231,,,f445ecf6f36567fe
1970-02-10,231,,,c409ee930c1e51d9
1970-02-10,10,,,f445ecf6f36567fe
1970-02-10,10,,,c409ee930c1e51d9
1970-02-10,151,,,f445ecf6f36567fe
1970-02-10,151,,,c409ee930c1e51d9
1970-02-10,3,,,f445ecf6f36567fe
