timestamp,heart_rate,hr_id
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
1970-02-05 00:00:00,,8aed642bf5118b9d
